subject,metaphor_id,response,met_type,conceptual,nm,trial_order,met_stim,met_RT,age,sex,hand,collegeYear,SES,language_group,lang_dist,LD_rev,LD_inverse,englishAgeofOnset,AT,NFC,letter_sets,WMC,GK,LA,word_gen_pca,source_similarity_lsa,source_similarity_word2vec
53,cm1312,Some people are two-dimensioned people in three-dimensioned world.,conv,5,5,14,8,68718,17,f,right,1,3,bilingual,1.5,2.5,0.666666667,9,25,44,6,32,12,8,17.8593791,0.487522986,0.42494067
53,cm1317,Some computer programs are the 4-credit class in college.,conv,5,5,19,7,45715,17,f,right,1,3,bilingual,1.5,2.5,0.666666667,9,25,44,6,32,12,8,17.8593791,0.090375457,0.149245575
54,cm1126,some relationships offer as much as being on social medias all day long,conv,5,5,4,11,126847,21,f,right,4,3,non-english,2.5,1.5,0.4,10,13,4,13,44,11,9,13.179676,0.216280379,0.065523584
54,cm1134,some property are like historic mansions,conv,4.5,5,12,21,55402,21,f,right,4,3,non-english,2.5,1.5,0.4,10,13,4,13,44,11,9,13.179676,0.17977011,0.091920631
54,cm1140,some computer programs make you feel like an analphabet,conv,5,5,18,7,56299,21,f,right,4,3,non-english,2.5,1.5,0.4,10,13,4,13,44,11,9,13.179676,0.334212964,0.348004173
55,cm1164,Her smile is as contagious as Snow White's singing voice.,conv,5,5,20,10,27021,17,f,right,1,4,bilingual,2.75,1.25,0.363636364,1,6,20,9,58,14,4,26.9945506,-0.057742157,-0.064646952
56,cm1178,Some properties are more expensive than a small town combined.,conv,4.5,5,12,21,47731,19,m,left,1,3,non-english,2.25,1.75,0.444444444,5,15,10,12,34,15,11,10.3124013,0.099069388,0.184353022
56,cm1181,Some people are like a closely guarded government building,conv,5,5,15,8,68803,19,m,left,1,3,non-english,2.25,1.75,0.444444444,5,15,10,12,34,15,11,10.3124013,0.079891191,0.140806788
56,cm1184,Cigarettes are like high interest rate debts,conv,5,5,18,15,59158,19,m,left,1,3,non-english,2.25,1.75,0.444444444,5,15,10,12,34,15,11,10.3124013,0.026627083,0.138513743
57,cm1193,"like a mini UN, has different race, different religions, different nationalities perople",conv,5,5,5,16,55267,28,f,right,1,3,non-english,1.25,2.75,0.8,11,15,24,5,28,10,5,12.0971937,0.580275525,0.720224441
58,cm1213,Some relationships are like studying for a doctoral degree in your 30s and graduating after six or seven years realizing you cannot do much with your degree.,conv,5,5,3,11,89846,34,f,left,7,3,bilingual,1.25,2.75,0.8,3,24,55,6,62,19,8,23.0447936,0.079160558,-0.068270441
58,cm1216,Certain memories are like the billions and billions of pixels found on a 42 inch plasma TV.,conv,5,5,6,4,87485,34,f,left,7,3,bilingual,1.25,2.75,0.8,3,24,55,6,62,19,8,23.0447936,,
58,cm1219,Her family is like putting your savings in a fixed deposit account.,conv,5,5,9,5,60196,34,f,left,7,3,bilingual,1.25,2.75,0.8,3,24,55,6,62,19,8,23.0447936,0.018033583,0.160272358
58,cm1222,Her smile is like walking past the Apple Store and seeing the latest iPhoneX.,conv,5,5,12,10,44707,34,f,left,7,3,bilingual,1.25,2.75,0.8,3,24,55,6,62,19,8,23.0447936,-0.007153834,0.09229785
58,cm1230,"Love is like putting all your variables in an OLS regression, not knowing whether it will spit out the data that you are hoping to get.",conv,5,5,20,3,91152,34,f,left,7,3,bilingual,1.25,2.75,0.8,3,24,55,6,62,19,8,23.0447936,0.180021497,0.194512593
59,cm1234,some computer programs are deeply harder than knowing a girl's mind,conv,5,5,2,7,83669,22,f,right,6,4,non-english,2.5,1.5,0.4,12,14,20,12,61,22,7,22.405647,0.203212297,0.231239743
59,cm1237,certain memories are a lego's magazine : you find every part of the story you need,conv,5,5,5,4,102383,22,f,right,6,4,non-english,2.5,1.5,0.4,12,14,20,12,61,22,7,22.405647,,
59,cm1244,some jobs are an exclusive relationship between a computer and you,conv,5,5,12,1,152663,22,f,right,6,4,non-english,2.5,1.5,0.4,12,14,20,12,61,22,7,22.405647,-0.07999672,0.018860103
60,cm1257,Certain memories are like the ceiling of the Sistine Chapel.,conv,5,5,3,4,100214,18,f,right,2,2,english,,0,0,0,7,64,6,32,23,7,18.9134376,,
60,cm1267,Some old men are like peeling wax off of wood.,conv,5,5,13,6,49451,18,f,right,2,2,english,,0,0,0,7,64,6,32,23,7,18.9134376,0.103398365,0.139301345
61,cm1282,smoking cigarettes is like crossing the street with your eyes closed,conv,5,5,6,15,55597,21,m,right,3,3,non-english,2.5,1.5,0.4,6,15,3,10,50,16,12,16.6576735,0.065623319,0.10358585
1,cm18,Her smile is like a flame to a moth. ,conv,5,4.75,18,10,13455,19,f,right,4,3,english,,0,0,0,14,10,7,49,20,9,15.5183436,0.039743973,0.006394788
2,cm28,Some relationships remind of sewers. ,conv,5,4.75,6,11,89214,22,f,right,4,3,english,,0,0,0,12,-5,8,46,17,6,23.0447936,0.283154564,0.047867103
3,cm50,Some teenagers are like hyperactive bees on coccaine ,conv,5,4.75,6,12,55899,30,m,left,7,3,english,,0,0,0,16,31,14,52,25,13,17.8412192,-0.037161077,0.043151616
5,cm93,Universities are as diverse as Orange is the New Black.  ,conv,5,4.75,5,16,102454,21,m,right,3,4,english,,0,0,0,7,-11,4,55,27,5,12.6494888,0.058493586,0.096619911
5,cm101,Boyfriends and girlfriends can suck worst than their oral sex. ,conv,4.5,4.75,13,11,36127,21,m,right,3,4,english,,0,0,0,7,-11,4,55,27,5,12.6494888,0.20313978,0.191938728
5,cm107,Certain persons can be unpredicatable in thought as Bam Margera is to what he will do next. IE its whatever the fuck he wants. ,conv,2,4.75,19,8,86668,21,m,right,3,4,english,,0,0,0,7,-11,4,55,27,5,12.6494888,0.752588624,0.707302385
8,cm165,are more complex than a rubics cube for color-blind people ,conv,4.5,4.75,11,7,41265,24,f,right,4,2,english,,0,0,0,7,3,8,30,19,8,17.2241805,0.206605143,0.233478051
10,cm206,Some old men are one way streets ,conv,5,4.75,8,6,54721,20,m,ambi,2,3,non-english,1.5,2.5,0.666666667,5,20,8,9,33,18,7,12.0285021,0.082342087,0.033285292
11,cm230,Some property is equivalent to the net worth of Will Smith. ,conv,4.5,4.75,10,21,62444,21,f,right,3,3,bilingual,,0,0,0,17,18,9,62,19,12,20.6571744,0.174950252,0.222694121
13,cm285,Some jobs are like being stuck in a box which you barely fit in ,conv,5,4.75,21,1,17850,21,m,ambi,4,3,english,,0,0,0,12,17,14,38,22,11,23.5891927,-0.119633172,0.073012629
15,cm317,Some old men are as difficult as trying to push a boulder up a hill ,conv,5,4.75,9,6,47416,27,f,right,6,3,english,,0,0,0,17,40,7,53,19,8,18.4195702,0.135221054,0.152598459
19,cm398,Some old men are like weeds in yard.  ,conv,5,4.75,2,6,202193,33,f,right,7,2,non-english,2.5,1.5,0.4,14,13,36,10,41,19,10,17.8917509,0.069103885,0.085563932
19,cm414,Colleges are like a trail mix. ,conv,5,4.75,18,16,95741,33,f,right,7,2,non-english,2.5,1.5,0.4,14,13,36,10,41,19,10,17.8917509,-0.003307073,0.071766461
23,cm497,"Going to Uni can connect you so many kinds of people, its like traveling the world by staying in one spot.  ",conv,5,4.75,13,16,100620,19,f,right,4,2,english,,0,0,0,12,-9,10,35,27,6,18.9884451,0.63119711,0.64388417
24,cm521,Some jobs feel like trying expand a glass jar  ,conv,5,4.75,15,1,63288,23,m,right,6,3,english,,0,0,0,12,20,6,42,21,7,16.0651106,-0.145281683,0.031690267
28,cm612,Eudcation is like a bird that lost hope for finding a meal but got home with a full stomach. ,conv,5,4.75,18,19,116547,21,f,right,3,2,bilingual,2.75,1.25,0.363636364,6,21,4,7,20,13,2,9.6914146,0.183004799,0.199127359
29,cm629,Her family is like a cushion ball ,conv,5,4.75,13,5,28405,22,m,right,4,3,bilingual,2.25,1.75,0.444444444,5,12,-3,14,40,19,9,29.3434821,0.035639583,0.153596233
36,cm775,Some computer programs are like changing the car's oil  ,conv,5,4.75,5,7,58630,20,f,right,3,2,bilingual,2.25,1.75,0.444444444,3,6,18,10,23,23,10,14.8934089,0.201981365,0.302721936
38,cm826,Some teenagers are like Roombas. ,conv,5,4.75,12,12,35711,19,m,right,3,4,english,,0,0,0,14,4,11,56,24,11,13.2080998,0.020657665,0.022068769
40,cm859,Divorce is like Trump,conv,5,4.75,1,17,99100,24,m,right,6,3,bilingual,1,3,1,17,8,15,8,40,18,12,14.9581525,0.18244949,0.111807438
43,cm936,Some teenagers are busy like a crowded city at night. ,conv,5,4.75,12,12,70182,26,f,right,6,3,english,,0,0,0,11,21,10,56,26,11,26.4825233,0.118994018,0.144638701
44,cm955,Friendship is like handcuffs that you want to be in. ,conv,5,4.75,9,20,40524,24,f,right,6,2,english,,0,0,0,8,26,6,53,20,11,20.7487617,0.554313406,0.321553654
44,cm956,Cigarettes are like a Trump presidency. ,conv,5,4.75,10,15,39934,24,f,right,6,2,english,,0,0,0,8,26,6,53,20,11,20.7487617,0.026598073,0.077281825
44,cm958,Some computer programs are like IKEA instruction manuals. ,conv,5,4.75,12,7,18415,24,f,right,6,2,english,,0,0,0,8,26,6,53,20,11,20.7487617,0.225197898,0.23427992
47,cm1024,Some college lectures are like ean endless preach on sunny Sunday afternoon.,conv,2.5,4.75,12,2,109290,39,f,right,6,4,non-english,1,3,1,12,23,45,12,50,23,11,17.2076007,,
48,cm1052,Colleges are like a collection of alphabets.,conv,5,4.75,18,16,22620,28,f,right,7,3,non-english,1,3,1,12,14,5,7,33,12,12,10.3045053,-0.032701394,0.006414141
48,cm1053,Love is a question without solutions.,conv,5,4.75,19,3,34104,28,f,right,7,3,non-english,1,3,1,12,14,5,7,33,12,12,10.3045053,0.205317831,0.169710238
49,cm1071,Some computer programs are like students' motivation.,conv,5,4.75,15,7,116042,33,f,right,7,3,non-english,1,3,1,12,12,5,13,46,16,11,18.4219381,0.110019739,0.215969506
50,cm1079,Some people's brains are like blackboxes.,conv,5,4.75,1,8,32849,29,f,right,6,2,non-english,1.5,2.5,0.666666667,12,18,29,14,53,14,7,18.3753544,0.289529483,0.457567579
51,cm1102,"Love is like impossibly guessable letter,x",conv,5,4.75,2,3,67983,19,f,right,2,3,bilingual,1.5,2.5,0.666666667,12,18,0,3,45,26,3,13.179676,-0.050257805,-0.060469735
52,cm1336,some computer programs are like physics to students majoring in fine art,conv,5,4.75,16,7,61010,32,f,right,7,3,non-english,1.5,2.5,0.666666667,11,24,17,7,28,19,7,14.4216494,0.061035773,0.167885908
54,cm1133,colleges are salad bowl,conv,5,4.75,11,16,36057,21,f,right,4,3,non-english,2.5,1.5,0.4,10,13,4,13,44,11,9,13.179676,-0.005778015,0.018656689
55,cm1153,"Love is like Russian Roulette, you never know where the bullet is.",conv,5,4.75,9,3,52914,17,f,right,1,4,bilingual,2.75,1.25,0.363636364,1,6,20,9,58,14,4,26.9945506,0.049510639,-0.005309794
56,cm1171,Colleges are more diverse than an animal watering hole,conv,5,4.75,5,16,306118,19,m,left,1,3,non-english,2.25,1.75,0.444444444,5,15,10,12,34,15,11,10.3124013,0.023206159,0.346335698
58,cm1220,Divorce is like the Spanish Flu or the Bubonic plague.,conv,5,4.75,10,17,34987,34,f,left,7,3,bilingual,1.25,2.75,0.8,3,24,55,6,62,19,8,23.0447936,0.122872295,0.133700378
58,cm1226,Her beauty is like grabbing your phone from the back of your pocket.,conv,5,4.75,16,14,80135,34,f,left,7,3,bilingual,1.25,2.75,0.8,3,24,55,6,62,19,8,23.0447936,0.233611094,0.327963084
58,cm1229,Some college lectures are like listening to the same old song for the hundredth time.,conv,4.5,4.75,19,2,37141,34,f,left,7,3,bilingual,1.25,2.75,0.8,3,24,55,6,62,19,8,23.0447936,,
59,cm1254,some relationships are a sad story of ice cream and tears,conv,5,4.75,22,11,56117,22,f,right,6,4,non-english,2.5,1.5,0.4,12,14,20,12,61,22,7,22.405647,0.265341257,0.340519916
60,cm1261,Some relationships are like grave digging.,conv,5,4.75,7,11,47987,18,f,right,2,2,english,,0,0,0,7,64,6,32,23,7,18.9134376,0.266508341,0.188593965
61,cm1286,listening to some college lectures giving their speech  is like listening non stop to the names of all GSU students,conv,3,4.75,10,2,225148,21,m,right,3,3,non-english,2.5,1.5,0.4,6,15,3,10,50,16,12,16.6576735,,
2,cm32,Some computer programs remind me of boys. ,conv,5,4.5,10,7,70190,22,f,right,4,3,english,,0,0,0,12,-5,8,46,17,6,23.0447936,0.146080175,0.162256248
2,cm36,Some Old Men are similar to Republicans on their views of ObamaCare. ,conv,3,4.5,14,6,95263,22,f,right,4,3,english,,0,0,0,12,-5,8,46,17,6,23.0447936,0.044467613,0.11038278
2,cm41,Education is traveling ,conv,5,4.5,19,19,116866,22,f,right,4,3,english,,0,0,0,12,-5,8,46,17,6,23.0447936,0.128883716,0.156405341
3,cm63,Friendship is like a Chinese finger trap ,conv,5,4.5,19,20,45928,30,m,left,7,3,english,,0,0,0,16,31,14,52,25,13,17.8412192,-0.022754987,0.132588825
5,cm91,Cigaretts can kill you in the future without warning like a facebook live killer.  ,conv,5,4.5,3,15,60548,21,m,right,3,4,english,,0,0,0,7,-11,4,55,27,5,12.6494888,0.850604412,0.809715473
5,cm109,Dreams can be as vivid as news anchors' face makeup in HiDef television.  ,conv,5,4.5,21,4,42972,21,m,right,3,4,english,,0,0,0,7,-11,4,55,27,5,12.6494888,,
5,cm110,Those people provide her with as much protection as the secret service do for the president.  ,conv,4.5,4.5,22,5,52616,21,m,right,3,4,english,,0,0,0,7,-11,4,55,27,5,12.6494888,0.066556389,0.387778403
6,cm112,"One could think of the Earth as a cosmic beehive, with each of the peons hobbling to and fro to fulfill their duties. ",conv,4.5,4.5,2,18,47387,27,m,right,7,3,english,,0,0,0,13,28,9,52,26,12,21.2986889,0.179764451,0.282146349
6,cm115,Alas! Her beauty was a veritable license to print money. ,conv,5,4.5,5,14,53353,27,m,right,7,3,english,,0,0,0,13,28,9,52,26,12,21.2986889,0.050462629,0.124701107
6,cm124,"For Teresa, her family was a golden rock to which she could cling amid a Sea of Chaos. ",conv,5,4.5,14,5,71679,27,m,right,7,3,english,,0,0,0,13,28,9,52,26,12,21.2986889,0.006021543,-0.085473908
6,cm130,Kid! Come back! Fricking listen to me. Your education is the best kind of martial arts training you could imagine and it will let you punch out all your competition at the job interviews! ,conv,4.5,4.5,20,19,127513,27,m,right,7,3,english,,0,0,0,13,28,9,52,26,12,21.2986889,0.171153352,0.328253331
7,cm135,Recalling certain memories can be like looking through a microscope. ,conv,5,4.5,3,4,91278,21,f,left,4,3,english,,0,0,0,15,27,12,60,26,12,23.0550575,,
7,cm144,Some computer programs are like trying to figure out a piece of medical equipment without knowing what it's for. ,conv,4.5,4.5,12,7,193701,21,f,left,4,3,english,,0,0,0,15,27,12,60,26,12,23.0550575,0.347478221,0.352329193
7,cm151,Some jobs make you feel like a sardine in a can. ,conv,5,4.5,19,1,24421,21,f,left,4,3,english,,0,0,0,15,27,12,60,26,12,23.0550575,-0.159106033,0.009697453
7,cm154,Trying to understand some people is like trying to read a book in an alien language. ,conv,5,4.5,22,8,90157,21,f,left,4,3,english,,0,0,0,15,27,12,60,26,12,23.0550575,0.465714891,0.496447729
8,cm159,"like a thick stew, mixed of people with different flavors of life ",conv,5,4.5,5,16,57687,24,f,right,4,2,english,,0,0,0,7,3,8,30,19,8,17.2241805,0.585944751,0.593437152
9,cm184,Some relationships are like being a poor single ,conv,4.5,4.5,8,11,57901,21,m,right,2,2,bilingual,1,3,1,6,11,0,8,37,24,9,17.303136,0.24143727,0.180917264
9,cm189,Love is like catching a bouncing football ,conv,5,4.5,13,3,16938,21,m,right,2,2,bilingual,1,3,1,6,11,0,8,37,24,9,17.303136,-0.020086432,-0.00928346
11,cm241,Certain memories are vivid like a grass after a rainy day. ,conv,5,4.5,21,4,62519,21,f,right,3,3,bilingual,,0,0,0,17,18,9,62,19,12,20.6571744,,
12,cm250,Her smile is like a lure. ,conv,5,4.5,8,10,9160,20,f,right,2,3,bilingual,1.75,2.25,0.571428571,2,15,11,13,38,20,12,16.0224749,0.150613797,0.235692151
12,cm264,Some old men are like a jar that won't open. ,conv,5,4.5,22,6,52229,20,f,right,2,3,bilingual,1.75,2.25,0.571428571,2,15,11,13,38,20,12,16.0224749,0.106104771,0.050440049
13,cm265,Some people are as expressive as a rock. ,conv,5,4.5,1,8,59961,21,m,ambi,4,3,english,,0,0,0,12,17,14,38,22,11,23.5891927,0.299424891,0.417322078
13,cm266,Colleges are like diverse marketplaces selling knowledge from various cultures. ,conv,5,4.5,2,16,65637,21,m,ambi,4,3,english,,0,0,0,12,17,14,38,22,11,23.5891927,0.106022623,0.381975538
13,cm280,Certain Memories can be recalled like the epic battle scenes written in the books of epic fantasy authors. ,conv,5,4.5,16,4,63494,21,m,ambi,4,3,english,,0,0,0,12,17,14,38,22,11,23.5891927,,
13,cm281,Some Relationships are like being trapped in a hole for ten years ,conv,5,4.5,17,11,45793,21,m,ambi,4,3,english,,0,0,0,12,17,14,38,22,11,23.5891927,-0.044859856,0.102334184
15,cm315,Divorce is like a hurricane  ,conv,5,4.5,7,17,12823,27,f,right,6,3,english,,0,0,0,17,40,7,53,19,8,18.4195702,0.249648589,0.174498555
16,cm332,Some relationships are like digging graves ,conv,5,4.5,2,11,11217,26,m,right,6,4,bilingual,,0,0,0,11,37,10,37,27,12,34.5091566,0.266508341,0.188593965
16,cm350,Cigarettes are like murderous lightning ,conv,5,4.5,20,15,32886,26,m,right,6,4,bilingual,,0,0,0,11,37,10,37,27,12,34.5091566,0.142485414,0.150970501
17,cm354,Some teenagers act like they have ants in their pants ,conv,4.5,4.5,2,12,30028,28,f,right,7,3,english,,0,0,0,10,41,9,48,24,11,16.7145211,0.009959887,0.102009272
18,cm390,Certain memories are like blueprints for a building.  ,conv,5,4.5,16,4,92890,27,f,right,7,3,non-english,1,3,1,9,11,12,13,26,21,13,17.7804236,,
18,cm392,Some jobs are like traps for mice.  ,conv,5,4.5,18,1,49349,27,f,right,7,3,non-english,1,3,1,9,11,12,13,26,21,13,17.7804236,-0.09371554,0.170679223
19,cm407,Some computer programs are like a 1000-piece puzzle for a 5-year old. ,conv,4.5,4.5,11,7,186853,33,f,right,7,2,non-english,2.5,1.5,0.4,14,13,36,10,41,19,10,17.8917509,0.192699184,0.175001176
19,cm411,Love is live driving on highway under a snow storm. ,conv,5,4.5,15,3,51939,33,f,right,7,2,non-english,2.5,1.5,0.4,14,13,36,10,41,19,10,17.8917509,-0.036231497,0.078673786
19,cm412,"Cigarettes are like a lifetime of sex, drugs and rock and roll. ",conv,5,4.5,16,15,122221,33,f,right,7,2,non-english,2.5,1.5,0.4,14,13,36,10,41,19,10,17.8917509,0.016412876,0.01530991
19,cm413,Education is like a bank account in Sweden. ,conv,5,4.5,17,19,106700,33,f,right,7,2,non-english,2.5,1.5,0.4,14,13,36,10,41,19,10,17.8917509,-0.006646674,0.155126096
20,cm434,Her house is like a military dormitory. ,conv,3,4.5,16,22,58568,45,f,right,6,3,non-english,2.5,1.5,0.4,11,17,24,14,39,22,11,13.2096799,0.063254751,0.185788065
23,cm487,The woman's smile was like honey to Buzz the Cherios bee.  ,conv,5,4.5,3,10,67651,19,f,right,4,2,english,,0,0,0,12,-9,10,35,27,6,18.9884451,0.084141723,0.038112803
23,cm488,"Divorce is like an earthquake, even when its expected , it still manages to shatter and divide those in its wake.  ",conv,5,4.5,4,17,57727,19,f,right,4,2,english,,0,0,0,12,-9,10,35,27,6,18.9884451,0.192417631,0.279407983
23,cm491,"The Professor droned on and and on, it was like watching the static fuzz when the T.V. goes out for an hour.  ",conv,4.5,4.5,7,2,47128,19,f,right,4,2,english,,0,0,0,12,-9,10,35,27,6,18.9884451,,
23,cm496,Her house was as orderly as words on a page.  ,conv,5,4.5,12,22,25135,19,f,right,4,2,english,,0,0,0,12,-9,10,35,27,6,18.9884451,0.109728096,0.418434279
24,cm519,Some old men are like trying to convince a child to do their homework  ,conv,4.5,4.5,13,6,73307,23,m,right,6,3,english,,0,0,0,12,20,6,42,21,7,16.0651106,0.131409384,0.131284088
24,cm528,Education is like conducting a survey with rewards at the end of it ,conv,5,4.5,22,19,52480,23,m,right,6,3,english,,0,0,0,12,20,6,42,21,7,16.0651106,0.24136019,0.254812862
25,cm532,Some relationships can lose meaning and purpose like one who is lost in a forest. ,conv,5,4.5,4,11,258510,19,f,right,1,3,bilingual,1,3,1,3,20,10,5,15,18,6,17.1918087,0.151666697,0.110312447
25,cm549,Some college lectures are uninteresting as grocery shopping. ,conv,5,4.5,21,2,60126,19,f,right,1,3,bilingual,1,3,1,3,20,10,5,15,18,6,17.1918087,,
26,cm551,some old men are like  the accumulation of mud ,conv,5,4.5,1,6,107634,19,f,right,1,3,non-english,1.5,2.5,0.666666667,4,14,30,8,31,16,8,10.9033841,0.133461286,0.173757826
26,cm569,some jobs are like a crack between a closed door ,conv,5,4.5,19,1,54882,19,f,right,1,3,non-english,1.5,2.5,0.666666667,4,14,30,8,31,16,8,10.9033841,-0.075518585,0.036154797
27,cm589,Her beauty is like money. ,conv,5,4.5,17,14,64316,31,m,left,5,2,english,,0,0,0,21,36,6,52,20,10,15.4741278,0.132984278,0.244149632
28,cm600,Some people are like animals trying to speak to us. ,conv,5,4.5,6,8,91980,21,f,right,3,2,bilingual,2.75,1.25,0.363636364,6,21,4,7,20,13,2,9.6914146,0.412696103,0.52850618
28,cm616,Love is like taking a test you didn't prepare for. ,conv,5,4.5,22,3,52485,21,f,right,3,2,bilingual,2.75,1.25,0.363636364,6,21,4,7,20,13,2,9.6914146,0.106421289,0.14522513
29,cm617,Divorce is like a shipwreck  ,conv,5,4.5,1,17,61628,22,m,right,4,3,bilingual,2.25,1.75,0.444444444,5,12,-3,14,40,19,9,29.3434821,0.211610404,0.211932757
29,cm622,Education is like a train that goes on forever and stops at every interesting place you would wanna look at ,conv,5,4.5,6,19,72590,22,m,right,4,3,bilingual,2.25,1.75,0.444444444,5,12,-3,14,40,19,9,29.3434821,0.231505951,0.260598205
29,cm623,Her smile is like looking at the sky on shrooms ,conv,5,4.5,7,10,35941,22,m,right,4,3,bilingual,2.25,1.75,0.444444444,5,12,-3,14,40,19,9,29.3434821,-0.023447255,0.002636228
29,cm624,His Temper is like a whitehead on a humid day ,conv,5,4.5,8,13,34852,22,m,right,4,3,bilingual,2.25,1.75,0.444444444,5,12,-3,14,40,19,9,29.3434821,0.043166738,0.111237147
29,cm627,Some teenagers are like roller coasters on MDMA ,conv,5,4.5,11,12,39307,22,m,right,4,3,bilingual,2.25,1.75,0.444444444,5,12,-3,14,40,19,9,29.3434821,0.068602179,0.1697686
29,cm630,"Cigarettes are like using tanning beds, you may use them everyday to get yourself the complexion you want but it may explode on you one day ",conv,4.5,4.5,14,15,62362,22,m,right,4,3,bilingual,2.25,1.75,0.444444444,5,12,-3,14,40,19,9,29.3434821,0.011372347,0.146958935
29,cm636,Some relationships are like living in a retirement home ,conv,5,4.5,20,11,17254,22,m,right,4,3,bilingual,2.25,1.75,0.444444444,5,12,-3,14,40,19,9,29.3434821,0.19107627,0.146430107
29,cm638,Her house is like the guest room on the day an Airbnb-er arrives ,conv,3,4.5,22,22,78760,22,m,right,4,3,bilingual,2.25,1.75,0.444444444,5,12,-3,14,40,19,9,29.3434821,0.132504623,0.316004784
32,cm686,Divorce is a drug. ,conv,5,4.5,4,17,16421,20,f,right,2,3,english,,0,0,0,9,18,10,49,19,3,18.3935143,0.124489884,0.15036507
33,cm706,This software is like a printer. Only works when it wants to.  ,conv,3.5,4.5,2,7,146560,27,f,right,6,2,english,,0,0,0,13,25,6,37,21,7,14.4058574,0.459221951,0.321858993
33,cm709,"Friendship, a form of emotional handcuffing and you've lost the key.  ",conv,5,4.5,5,20,46218,27,f,right,6,2,english,,0,0,0,13,25,6,37,21,7,14.4058574,0.149688448,0.286135924
33,cm725,This relationship is as rewarding as an empty box of candy.  ,conv,5,4.5,21,11,30781,27,f,right,6,2,english,,0,0,0,13,25,6,37,21,7,14.4058574,0.221762944,0.171344186
34,cm727,Our friendship is like superglue. Our friendship is like we are immortal beings. Friendship is like two soulmates or lovers . Friendship is like when a fan meets another fan.  ,conv,5,4.5,1,20,279440,21,f,right,3,3,non-english,1.25,2.75,0.8,5,12,-1,11,29,19,9,14.3979614,0.120347986,0.090225171
35,cm755,college is like a box of crayons ,conv,5,4.5,7,16,49019,20,f,right,3,3,non-english,2,2,0.5,10,12,-7,9,30,12,3,16.0887986,-0.017533267,0.034871399
35,cm756,using some computer programs are like trying to get a job without experience ,conv,4.5,4.5,8,7,64654,20,f,right,3,3,non-english,2,2,0.5,10,12,-7,9,30,12,3,16.0887986,0.474267066,0.5234645
35,cm769,some college lectures is as boring as monday mornings  ,conv,5,4.5,21,2,17749,20,f,right,3,3,non-english,2,2,0.5,10,12,-7,9,30,12,3,16.0887986,,
36,cm778,Some people are like taking college math course ,conv,5,4.5,8,8,42522,20,f,right,3,2,bilingual,2.25,1.75,0.444444444,3,6,18,10,23,23,10,14.8934089,0.389611704,0.377114787
37,cm814,some college lectures are like long road trips  ,conv,5,4.5,22,2,31911,19,f,right,3,3,english,,0,0,0,10,6,14,43,19,10,21.3231647,,
38,cm827,Her smile is like an invitation. ,conv,5,4.5,13,10,20159,19,m,right,3,4,english,,0,0,0,14,4,11,56,24,11,13.2080998,-0.037847269,-0.125811167
39,cm837,Her beauty is like an evil majic ,conv,5,4.5,1,14,140928,36,f,right,7,3,non-english,1,3,1,10,14,22,6,29,13,12,18.4298341,-0.032244925,0.06716249
40,cm868,Talking to some people is like solving math problems.,conv,5,4.5,10,8,67288,24,m,right,6,3,bilingual,1,3,1,17,8,15,8,40,18,12,14.9581525,0.516691649,0.477227191
40,cm870,Being in some relationships is like living with dead people.,conv,5,4.5,12,11,51943,24,m,right,6,3,bilingual,1,3,1,17,8,15,8,40,18,12,14.9581525,0.256627111,0.29211681
41,cm890,Some people are wearing a white mask all the time  ,conv,4.5,4.5,10,8,79190,38,f,right,6,3,non-english,2.25,1.75,0.444444444,5,19,32,12,49,25,6,13.2357358,0.353272905,0.356903999
41,cm891,Love is like trying to survive in anforest  ,conv,5,4.5,11,3,173785,38,f,right,6,3,non-english,2.25,1.75,0.444444444,5,19,32,12,49,25,6,13.2357358,0.066606241,0.132403105
41,cm896,Some property is like water in a dessert ,conv,5,4.5,16,21,53254,38,f,right,6,3,non-english,2.25,1.75,0.444444444,5,19,32,12,49,25,6,13.2357358,0.093947798,0.036664061
41,cm898,"I believe some teachers are really part foxes, part owls, part dolphins, but they look human to avoid akward questions ",conv,5,4.5,18,9,381499,38,f,right,6,3,non-english,2.25,1.75,0.444444444,5,19,32,12,49,25,6,13.2357358,0.128108073,0.204108159
41,cm900,Her house seems to be ironed ,conv,5,4.5,20,22,52658,38,f,right,6,3,non-english,2.25,1.75,0.444444444,5,19,32,12,49,25,6,13.2357358,0.149198379,0.337399067
42,cm908,her house is like a porcelain teacup  ,conv,5,4.5,6,22,48395,38,f,right,6,2,non-english,2.25,1.75,0.444444444,8,16,5,14,36,16,7,20.1577789,0.086976876,0.347289816
42,cm916,Some relationships are like a hole in your pocket ,conv,5,4.5,14,11,78220,38,f,right,6,2,non-english,2.25,1.75,0.444444444,8,16,5,14,36,16,7,20.1577789,0.158923247,0.028383382
42,cm921,Friendship is like melting  the ends of two pieces of gold/ steel together ,conv,5,4.5,19,20,194608,38,f,right,6,2,non-english,2.25,1.75,0.444444444,8,16,5,14,36,16,7,20.1577789,-0.014182093,0.092433781
43,cm932,Love is like driving through an unfamiliar countryside at night. ,conv,5,4.5,8,3,81342,26,f,right,6,3,english,,0,0,0,11,21,10,56,26,11,26.4825233,-0.038819044,0.067059793
44,cm963,Some college lectures are like waiting for water to boil when the stove is turned off. ,conv,5,4.5,17,2,36890,24,f,right,6,2,english,,0,0,0,8,26,6,53,20,11,20.7487617,,
